Store,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance
909,2015-06-22,41551,1721,1,0,0,0,a,c,1680.0
262,2015-04-03,38722,5132,1,1,b,0,b,a,1180.0
262,2015-05-01,38484,5458,1,1,a,0,b,a,1180.0
262,2015-05-14,38367,5192,1,0,a,1,b,a,1180.0
57,2014-06-16,38037,1970,1,1,0,0,d,c,420.0
817,2013-12-16,38025,4381,1,1,0,0,a,a,140.0
261,2013-12-16,37646,1964,1,1,0,0,d,c,15340.0
262,2014-05-29,37403,5297,1,0,a,0,b,a,1180.0
262,2013-12-22,37376,4916,1,0,0,0,b,a,1180.0
262,2014-12-21,37122,4962,1,0,0,0,b,a,1180.0
262,2014-11-30,36417,4816,1,0,0,0,b,a,1180.0
262,2013-03-29,36227,5069,1,1,b,0,b,a,1180.0
262,2014-04-18,35909,5063,1,1,b,0,b,a,1180.0
262,2014-10-03,35702,5494,1,1,a,0,b,a,1180.0
1114,2013-12-23,35697,4911,1,0,0,1,a,c,870.0
251,2013-12-23,35350,4635,1,0,0,1,a,c,340.0
262,2015-05-25,35159,4989,1,0,a,0,b,a,1180.0
842,2013-12-16,35154,1796,1,1,0,0,d,c,1200.0
262,2013-12-01,34904,4894,1,0,0,0,b,a,1180.0
262,2014-05-01,34814,4931,1,1,a,1,b,a,1180.0
262,2014-06-09,34692,5387,1,0,a,0,b,a,1180.0
57,2014-06-17,34692,1930,1,1,0,0,d,c,420.0
251,2013-12-16,34475,3983,1,1,0,0,a,c,340.0
262,2013-10-03,34369,4925,1,0,a,1,b,a,1180.0
262,2013-05-09,34133,5090,1,0,a,1,b,a,1180.0
